CNTSTUID,AGE,RESILIENCE,COMPETE,GFOFAIL,HISEI,HEDRES,PARED,SCREADCOMP,SCREADDIFF,JOYREAD,STIMREAD,TMINS,ST188Q01HA,ST188Q02HA,ST188Q03HA,ST188Q06HA,ST188Q07HA,ST183Q01HA,ST183Q02HA,ST183Q03HA,reading_fluency,ST184Q01HA
55400107,15.83,-1.0611,-0.2661,0.8794,70.5,0.0477,15,0.1222,0.8207,0.1478,0.2751,1375,3,4,1,1,3,3,3,4,19,1
55400290,15.92,-1.0583,-0.2047,-1.4242,27.91,-1.2049,14,1.8839,-1.8876,1.3468,0.1494,1375,3,2,2,2,3,1,1,2,19,1
55402424,15.33,-0.6365,-0.9372,0.8794,82.41,1.1793,15,1.0657,-1.8876,2.0787,-0.62,1485,4,4,3,1,2,3,3,4,17,3
55402745,15.33,-1.2947,1.2643,1.8905,71.39,1.1793,15,0.1222,-0.0697,0.8628,0.5135,1620,3,3,1,2,2,4,4,4,19,2
55402979,15.42,0.7872,-0.733,-0.13,17,-1.3835,10,-0.4419,0.409,0.2363,1.1884,1620,3,4,3,4,3,2,3,2,15,4
55407330,15.5,-1.2862,-0.5707,0.4637,62.45,-0.3792,15,1.2374,-1.1635,1.7513,0.0205,NA,3,2,2,1,3,3,3,3,19,2
55401316,16.08,-0.2056,-0.9792,-0.687,70.89,-0.6853,12,0.1222,-0.0697,-0.5262,-0.6537,2100,3,4,4,2,2,2,2,2,10,2
55402058,15.92,-0.4292,2.0054,0.4637,78.86,-1.1443,14,-1.0985,1.5959,-1.1285,0.2464,NA,3,3,2,2,4,3,3,3,19,4
55407530,15.58,0.8352,0.3045,0.8207,68.7,0.0477,15,1.8839,0.409,0.4823,2.0871,1500,4,3,2,4,4,4,3,3,15,1
55402695,15.58,2.3693,1.1811,-0.4342,78.86,1.1793,14,1.8839,-1.126,0.4627,1.1506,2295,4,4,4,4,4,3,2,2,18,1
55404106,16.08,-0.0614,0.1956,-0.13,81.4,0.0477,15,0.1222,-0.524,-0.0573,0.0236,1665,3,3,3,3,3,2,3,2,18,1
55405486,16.08,1.217,1.1811,-0.2459,41.27,-0.5813,10,0.1919,0.7067,-0.1358,1.0419,1665,3,4,3,4,4,4,2,2,16,3
55406512,15.67,-1.0445,0.1956,0.4637,75.13,-1.1878,15,-1.0985,-0.0697,-1.9715,-0.1998,NA,3,3,1,2,3,3,3,3,18,1
55402198,16,1.59,1.1811,0.8207,82.31,1.1793,15,0.1222,-0.1817,0.8628,1.0419,1800,4,3,4,4,4,4,3,3,19,1
55403091,15.75,1.5527,0.1244,-0.5722,52.72,1.1793,15,0.1222,0.5082,-0.4423,0.6487,1500,4,4,4,3,4,1,3,1,18,1
55403174,15.83,2.3693,-0.0591,-0.5311,76.49,0.0477,15,-1.3543,2.7752,-2.7114,-0.5827,1500,4,4,4,4,4,4,1,3,15,4
55406755,15.5,0.3858,0.1956,-0.4342,71.39,1.1793,15,0.1222,0.409,0.0977,0.5102,1250,3,4,3,3,3,3,2,2,17,2
55400894,15.5,-1.321,-0.2661,-0.3799,58.77,0.0477,14,0.1222,0.3787,0.2694,0.2432,1890,3,3,2,1,2,2,2,3,15,2
55403289,16.25,-0.4684,0.3709,0.8794,35.34,1.1793,10,1.2374,-0.524,-0.5656,1.0383,1620,3,3,2,3,3,3,3,4,19,2
55407449,15.67,-0.7906,-2.345,-0.9598,30.34,-1.195,15,0.1222,1.2421,0.3568,-0.2336,2840,3,2,2,3,3,1,1,4,12,4
55404592,15.83,-1.3413,-0.9792,1.8905,NA,-1.9183,NA,-2.4403,2.0679,-0.7077,0.5102,1500,3,3,2,2,1,4,4,4,12,3
55405668,15.92,-0.096,-0.2661,-0.13,77.1,1.1793,14,1.2374,-0.524,2.0787,1.1506,1500,3,4,3,2,3,2,3,2,15,1
55400106,16,0.4558,2.0054,-0.9823,50.15,-0.5492,10,0.1222,-0.663,-0.3875,-0.5068,1350,3,3,3,3,4,2,2,1,15,3
55408007,15.33,-0.8544,-0.8279,-0.6133,17,-4.4106,14,-2.4403,1.0578,-1.3532,1.0741,1800,1,2,3,4,NA,1,2,3,15,4
55405434,16,1.5024,1.1811,0.8794,50.37,1.1793,15,1.2374,0.5082,-0.0721,0.7551,1500,4,4,4,4,3,3,3,4,18,3
55405441,16.17,-1.5027,-0.5229,0.1097,68.7,-0.4903,15,-1.3543,2.7752,-1.9715,NA,NA,2,1,2,NA,3,2,3,3,8,2
55401512,15.92,0.3858,-0.2047,0.052,75.43,0.0477,15,0.1222,0.409,0.2694,0.7869,1485,3,4,3,3,3,3,3,2,18,2
55408120,15.67,1.1651,2.0054,-0.7592,86.72,1.1793,15,1.2374,-0.524,2.6131,2.0871,1760,3,4,4,3,4,3,2,1,12,2
55407204,15.75,0.3858,-0.4631,-0.3799,48.27,1.1793,12,0.1222,0.409,0.638,0.8945,1680,3,4,3,3,3,2,2,3,18,3
55407886,15.75,-0.0614,-0.2661,-0.7985,82.41,-0.1357,15,-1.4704,1.9635,-1.7421,0.5102,NA,3,3,3,3,3,3,1,3,13,3
55400380,15.92,-0.0614,-0.6888,-0.4342,21.13,-0.8543,15,-0.4089,0.409,-0.2704,-0.0999,NA,3,3,3,3,3,3,2,2,15,2
55400409,15.33,-0.4684,-1.0214,0.0208,70.5,-0.6853,15,0.1222,0.409,-0.2704,-1.3412,1500,3,3,2,3,3,3,2,4,16,3
55402009,16.17,1.6219,2.0054,0.4637,59.89,0.0477,14,0.1222,0.9065,-0.5262,0.2432,1800,4,4,3,4,4,3,3,3,18,2
55403538,16.17,-0.0614,0.1956,0.1097,43.85,1.1793,15,-1.0985,0.409,0.3568,-0.0073,NA,3,3,3,3,3,2,3,3,17,2
55404203,15.83,-0.1097,-0.733,0.8794,72.94,0.0477,10,-0.825,-0.0697,-0.2008,-1.3811,1800,3,3,3,4,2,3,3,4,19,1
55405525,15.75,-0.0614,1.2643,1.8905,78.86,-1.2049,15,1.8839,-1.126,2.6131,-0.0999,1375,3,3,3,3,3,4,4,4,18,1
55407758,16.25,0.7872,-0.2661,0.5949,65.01,0.0477,14,-0.849,-0.0697,-0.4389,0.1494,1375,3,4,3,4,3,2,3,4,17,1
55408090,15.33,-0.4531,0.1956,0.4637,75.13,-0.8449,15,-0.4419,1.2421,-0.2704,-0.62,1200,2,3,3,3,3,3,3,3,13,3
